"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda","rendaalta","central","grande","pequeno","novo","counter"
"5193",9374,"Apartamento com 2 Quartos a  Venda, 71m2","sem info",9999,"Passo da Areia",71,2,2,1,630000,8873.23943661972,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.3534755706787,3969,2.29857707023621,0,0,0,0,0,329
"5194",5470,"Apartamento com 3 Quartos a  Venda, 118m2","Rua Lebero Badaro",9999,"Passo da Areia",118,3,3,2,1390000,11779.6610169492,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,14.144814491272,3969,2.29857707023621,0,0,0,0,0,329
"5195",3739,"Apartamento com 2 Quartos a  Venda, 75m2","Rua Jose Scutari",54,"Passo da Areia",75,2,2,1,510000,6800,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1421661376953,3969,2.29857707023621,0,0,0,0,0,329
"5196",5152,"Apartamento com  Quarto a  Venda, 37m2","Rua Roque Calage",941,"Passo da Areia",37,1,1,1,218000,5891.89189189189,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.2922506332397,3969,2.29857707023621,0,0,0,1,0,329
"5197",5398,"Apartamento com 3 Quartos a  Venda, 93m2","Rua Roque Calage",257,"Passo da Areia",93,3,1,2,942426,10133.6129032258,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.7562122344971,3969,2.29857707023621,0,0,0,0,0,329
"5198",2129,"Apartamento com  Quarto a  Venda, 32m2","Rua Tupinamba",40,"Passo da Areia",32,1,1,1,148000,4625,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,11.9049673080444,3969,2.29857707023621,0,0,0,1,0,329
"5199",6521,"Apartamento com  Quarto a  Venda, 40m2","Rua Cipo",625,"Passo da Areia",40,1,1,0,180000,4500,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.1007118225098,3969,2.29857707023621,0,0,0,0,0,329
"5200",6282,"Apartamento com 3 Quartos a  Venda, 82m2","sem info",9999,"Passo da Areia",82,3,2,2,5e+05,6097.56097560976,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1223630905151,3969,2.29857707023621,0,0,0,0,0,329
"5201",8857,"Apartamento com 2 Quartos a  Venda, 79m2","Rua Paulo Setubal",9999,"Passo da Areia",79,2,3,2,1114000,14101.2658227848,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.9234676361084,3969,2.29857707023621,0,0,0,0,0,329
"5202",5284,"Apartamento com 3 Quartos a  Venda, 93m2","Rua Roque Calage",257,"Passo da Areia",93,3,1,2,942426,10133.6129032258,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.7562122344971,3969,2.29857707023621,0,0,0,0,0,329
"5203",4499,"Apartamento com 3 Quartos a  Venda, 84m2","Avenida Andarae",9999,"Passo da Areia",84,3,2,2,530000,6309.52380952381,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1806325912476,3969,2.29857707023621,0,0,0,0,0,329
"5204",6335,"Apartamento com 2 Quartos a  Venda, 50m2","Rua Veranopolis",491,"Passo da Areia",50,2,1,0,159000,3180,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,11.9766597747803,3969,2.29857707023621,0,0,0,0,0,329
"5205",3752,"Apartamento com 2 Quartos a  Venda, 70m2","sem info",9999,"Passo da Areia",70,2,2,1,650000,9285.71428571429,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.3847274780273,3969,2.29857707023621,0,0,0,0,0,329
"5206",8528,"Apartamento com 2 Quartos a  Venda, 83m2","Rua Paulo Setubal",134,"Passo da Areia",83,2,1,2,767000,9240.96385542169,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.5502424240112,3969,2.29857707023621,0,0,0,0,0,329
"5207",9754,"Apartamento com 3 Quartos a  Venda, 95m2","sem info",9999,"Passo da Areia",95,3,2,2,870000,9157.8947368421,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.676248550415,3969,2.29857707023621,0,0,0,0,0,329
"5208",7131,"Apartamento com 3 Quartos a  Venda, 112m2","Rua Acelio Daudt",30,"Passo da Areia",112,3,2,2,1275000,11383.9285714286,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,14.0584564208984,3969,2.29857707023621,0,0,0,0,0,329
